make,model,version,price,fuel,year,kms,power,doors,shift,color,photos,is_professional,province,make_number,model_number,model_numberdos,make_model_ref,combustible_int,provincia_numero,cambio_int,prof_int,color_limpio,color_numero,km_0,km_0_int
HYUNDAI,TUCSON,HYUNDAI TUCSON 1.6 TGDI 110kW 150CV 48V Maxx 5p.,29700,Gasolina,2020.0,12,150.0,5,Manual,Beige (SILKY BRONCE),13,True,Madrid,35,607,26,3526,1,29,0,1,Beige,278,True,1
LEXUS,NX,LEXUS NX 2.5 300h Executive 4WD 5p.,25900,Híbrido,2017.0,105368,197.0,5,Automático,Blanco,54,True,Valladolid,54,715,15,5415,4,46,1,1,Blanco,282,False,0
DS,DS 3 Crossback,DS DS 3 Crossback BlueHDi 73 kW Manual SO CHIC 5p.,24699,Diésel,2020.0,4,100.0,5,Manual,Gris / Plata,9,True,Álava,55,699,5,5505,0,50,0,1,Gris / Plata,412,True,1
AUDI,A5,AUDI A5 Sportback 3.0 TDI clean 218CV quat S tro 5p.,25990,Diésel,2016.0,157753,218.0,5,Automático,Negro,23,True,Sevilla,49,659,14,4914,0,39,1,1,Negro,526,False,0
MERCEDES-BENZ,Vito,MERCEDES-BENZ Vito 114 CDI Tourer Pro Larga,28900,Diésel,2018.0,32600,136.0,4,Automático,Gris / Plata (GRIS PEDERNAL),11,True,Madrid,56,589,21,5621,0,29,1,1,Gris / Plata,412,False,0
MERCEDES-BENZ,Clase SL,MERCEDES-BENZ Clase SL SL 350 2p.,29500,Gasolina,2009.0,78397,315.0,2,Automático,Gris / Plata (*BAR*),27,True,Barcelona,56,650,25,5625,1,7,1,1,Gris / Plata,412,False,0
CITROEN,Jumper,CITROEN Jumper BlueHDi 118KW 160CV Furg.35 Heavy L4H3,22920,Diésel,2018.0,18324,160.0,4,Manual,Blanco,14,True,Madrid,20,530,34,2034,0,29,0,1,Blanco,282,False,0
TOYOTA,Prius,TOYOTA Prius 1.8 Prius 5p.,23500,Híbrido,2019.0,30000,122.0,5,Automático,Gris / Plata,48,True,Girona,33,431,16,3316,4,17,1,1,Gris / Plata,412,False,0
SUZUKI,Across,SUZUKI Across 2.5 PHEV 4WD 5p.,54547,Híbrido enchufable,2020.0,20,306.0,5,Automático,Granate,19,True,Tarragona,31,817,15,3115,5,41,1,1,Granate,408,True,1
AUDI,S3,AUDI S3 2.0 TFSI quattro S tronic 3p.,30900,Gasolina,2017.0,125000,310.0,3,Manual,Negro,13,True,Tarragona,49,647,13,4913,1,41,0,1,Negro,526,False,0
PEUGEOT,3008,PEUGEOT 3008 1.6 PureTech 132KW SS GT Pack EAT8 5p.,43934,Gasolina,2021.0,2,180.0,5,Automático,Rojo (Rojo Ultimate),20,True,Madrid,29,613,38,2938,1,29,1,1,Rojo,612,True,1
AUDI,Q7,AUDI Q7 3.0 TDI 218CV ultra quattro tiptr Design 5p.,36400,Diésel,2016.0,106000,218.0,5,Automático,Negro,37,True,Madrid,49,734,26,4926,0,29,1,1,Negro,526,False,0
MERCEDES-BENZ,Sprinter,MERCEDES-BENZ Sprinter 311 CDI MEDIO 3.5T T. ALTO TD,28435,Diésel,2020.0,0,114.0,4,Manual,Blanco (Blanco ártico),25,True,Málaga,56,622,23,5623,0,32,0,1,Blanco,282,True,1
AUDI,S3,AUDI S3 2.0 TFSI quattro S tronic Sportback 5p.,39900,Gasolina,2017.0,39118,310.0,5,Automático,Rojo,54,True,Burgos,49,647,13,4913,1,8,1,1,Rojo,612,False,0
